year,div_yield
1990,0.0374
1991,0.0311
1992,0.028999999999999998
1993,0.027200000000000002
1994,0.0291
1995,0.023
1996,0.020099999999999996
1997,0.016
1998,0.0132
1999,0.011399999999999999
2000,0.0123
2001,0.0137
2002,0.0181
2003,0.0161
2004,0.015700000000000002
2005,0.0179
2006,0.0177
2007,0.0192
2008,0.0315
2009,0.0197
2010,0.018000000000000002
2011,0.021099999999999997
2012,0.0219
2013,0.0189
2014,0.0192
2015,0.0212
2016,0.0204
2017,0.0183
2018,0.021400000000000002
2019,0.0182
2020,0.02
