NGF20,
NGG20,
NGH20,
NGJ20,03/26/20
NGK20,04/27/20
NGM20,05/26/20
NGN20,06/25/20
NGQ20,07/28/20
NGU20,08/26/20
NGV20,09/25/20
NGX20,10/27/20
NGZ20,11/24/20
